Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/31/15,walking,walking,2015-01-31T13:08:52-05:00,2015-01-31T13:15:25-05:00,393,0.243,521,0
1/31/15,walking,walking,2015-01-31T14:02:42-05:00,2015-01-31T14:04:42-05:00,120,0.089,192,0
1/31/15,walking,walking,2015-01-31T15:13:35-05:00,2015-01-31T15:19:12-05:00,337,0.290,643,0
1/31/15,walking,walking,2015-01-31T15:21:08-05:00,2015-01-31T15:21:38-05:00,30,0.009,31,0
1/31/15,walking,walking,2015-01-31T15:49:39-05:00,2015-01-31T15:54:24-05:00,285,0.229,497,0
1/31/15,walking,walking,2015-01-31T16:01:11-05:00,2015-01-31T16:07:57-05:00,406,0.308,728,0
1/31/15,walking,walking,2015-01-31T16:10:48-05:00,2015-01-31T16:11:18-05:00,30,0.009,20,0
1/31/15,walking,walking,2015-01-31T18:12:04-05:00,2015-01-31T18:12:34-05:00,30,0.009,20,0
1/31/15,walking,walking,2015-01-31T18:14:57-05:00,2015-01-31T18:24:12-05:00,555,0.334,885,0
1/31/15,transport,transport,2015-01-31T19:41:37-05:00,2015-01-31T19:44:47-05:00,190,0.526,0,0
1/31/15,walking,walking,2015-01-31T19:44:47-05:00,2015-01-31T19:46:01-05:00,74,0.037,117,0
1/31/15,transport,transport,2015-01-31T19:55:42-05:00,2015-01-31T19:57:24-05:00,102,0.363,0,0
1/31/15,walking,walking,2015-01-31T19:57:44-05:00,2015-01-31T19:58:44-05:00,60,0.019,61,0
1/31/15,walking,walking,2015-01-31T20:53:23-05:00,2015-01-31T20:55:23-05:00,120,0.056,96,0
1/31/15,walking,walking,2015-01-31T21:00:53-05:00,2015-01-31T21:01:23-05:00,30,0.009,31,0
1/31/15,walking,walking,2015-01-31T22:50:27-05:00,2015-01-31T22:50:57-05:00,30,0.016,50,0
2/1/15,walking,walking,2015-02-01T10:15:19-05:00,2015-02-01T10:32:31-05:00,1032,0.548,1379,0
2/1/15,walking,walking,2015-02-01T10:34:50-05:00,2015-02-01T10:35:20-05:00,30,0.009,30,0
2/1/15,walking,walking,2015-02-01T12:13:01-05:00,2015-02-01T12:14:30-05:00,89,0.031,100,0
2/1/15,walking,walking,2015-02-01T12:28:05-05:00,2015-02-01T12:39:05-05:00,660,0.529,1108,0
2/1/15,walking,walking,2015-02-01T12:41:06-05:00,2015-02-01T12:41:36-05:00,30,0.019,61,0
2/1/15,walking,walking,2015-02-01T13:22:11-05:00,2015-02-01T13:22:41-05:00,30,0.009,25,0
2/1/15,walking,walking,2015-02-01T14:52:37-05:00,2015-02-01T14:53:37-05:00,60,0.038,121,0
2/1/15,cycling,cycling,2015-02-01T14:54:36-05:00,2015-02-01T14:58:55-05:00,259,0.572,0,0
2/1/15,walking,walking,2015-02-01T14:59:08-05:00,2015-02-01T14:59:38-05:00,30,0.016,50,0
2/1/15,walking,walking,2015-02-01T15:02:08-05:00,2015-02-01T15:03:43-05:00,95,0.040,128,0
2/1/15,transport,transport,2015-02-01T15:38:16-05:00,2015-02-01T15:42:23-05:00,247,0.590,0,0
2/1/15,walking,walking,2015-02-01T15:43:07-05:00,2015-02-01T15:43:37-05:00,30,0.016,51,0
2/1/15,walking,walking,2015-02-01T17:03:01-05:00,2015-02-01T17:10:27-05:00,446,0.245,527,0
2/1/15,walking,walking,2015-02-01T18:21:52-05:00,2015-02-01T18:22:22-05:00,30,0.009,30,0
2/1/15,walking,walking,2015-02-01T18:52:38-05:00,2015-02-01T19:00:19-05:00,461,0.311,765,0
2/1/15,walking,walking,2015-02-01T19:03:46-05:00,2015-02-01T20:14:14-05:00,4228,3.488,7502,0
2/1/15,transport,transport,2015-02-01T20:20:04-05:00,2015-02-01T20:29:39-05:00,575,3.145,0,0
2/1/15,walking,walking,2015-02-01T20:30:14-05:00,2015-02-01T20:31:14-05:00,60,0.025,81,0
2/1/15,walking,walking,2015-02-01T21:11:52-05:00,2015-02-01T21:12:43-05:00,51,0.027,87,0
2/1/15,transport,transport,2015-02-01T21:14:05-05:00,2015-02-01T21:24:22-05:00,617,3.648,0,0
2/1/15,walking,walking,2015-02-01T21:24:22-05:00,2015-02-01T22:21:20-05:00,3418,2.431,5717,0
2/1/15,walking,walking,2015-02-01T22:37:38-05:00,2015-02-01T22:43:38-05:00,360,0.341,663,0
