OID_,County,County_cod,Deaths,Population,Crude_Rate,Age_Adjust
,"Palm Beach County, FL","12,099.000000000000000","13,346.000000000000000","5,010,977.000000000000000",266.300000000000010,163.400000000000010
,"Pasco County, FL","12,101.000000000000000","5,334.000000000000000","1,736,619.000000000000000",307.100000000000020,197.500000000000000
,"Pinellas County, FL","12,103.000000000000000","10,725.000000000000000","3,683,451.000000000000000",291.199999999999990,182.500000000000000
,"Polk County, FL","12,105.000000000000000","5,246.000000000000000","2,188,066.000000000000000",239.800000000000010,185.800000000000010
,"Putnam County, FL","12,107.000000000000000",926.000000000000000,"291,499.000000000000000",317.699999999999990,233.000000000000000
,"St. Johns County, FL","12,109.000000000000000","1,447.000000000000000","655,462.000000000000000",220.800000000000010,184.500000000000000
,"St. Lucie County, FL","12,111.000000000000000","2,625.000000000000000","972,291.000000000000000",270.000000000000000,184.300000000000010
,"Santa Rosa County, FL","12,113.000000000000000","1,041.000000000000000","572,719.000000000000000",181.800000000000010,187.800000000000010
,"Sarasota County, FL","12,115.000000000000000","4,860.000000000000000","1,455,615.000000000000000",333.899999999999980,159.599999999999990
,"Seminole County, FL","12,117.000000000000000","2,787.000000000000000","1,611,118.000000000000000",173.000000000000000,185.900000000000010
,"Sumter County, FL","12,119.000000000000000",942.000000000000000,"263,563.000000000000000",357.399999999999980,224.500000000000000
,"Suwannee County, FL","12,121.000000000000000",458.000000000000000,"152,867.000000000000000",299.600000000000020,221.500000000000000
,"Taylor County, FL","12,123.000000000000000",205.000000000000000,"79,695.000000000000000",257.199999999999990,227.800000000000010
,"Union County, FL","12,125.000000000000000",233.000000000000000,"58,487.000000000000000",398.399999999999980,472.100000000000020
,"Volusia County, FL","12,127.000000000000000","5,873.000000000000000","1,956,982.000000000000000",300.100000000000020,197.099999999999990
,"Wakulla County, FL","12,129.000000000000000",198.000000000000000,"113,485.000000000000000",174.500000000000000,167.699999999999990
,"Walton County, FL","12,131.000000000000000",458.000000000000000,"201,477.000000000000000",227.300000000000010,191.000000000000000
,"Washington County, FL","12,133.000000000000000",261.000000000000000,"88,776.000000000000000",294.000000000000000,248.099999999999990
