Date,Type,Name,Start,End,Duration
2/9/15,place,Place in University of Florida,2015-02-09T19:11:29-05:00,2015-02-09T19:50:20-05:00,2331
2/9/15,move,walking,2015-02-09T19:50:20-05:00,2015-02-09T20:06:11-05:00,951
2/9/15,place,Place in University of Florida,2015-02-09T20:06:11-05:00,2015-02-09T20:16:01-05:00,590
2/9/15,move,walking,2015-02-09T20:16:01-05:00,2015-02-09T20:24:55-05:00,534
2/9/15,place,Place in University of Florida,2015-02-09T20:24:56-05:00,2015-02-09T20:44:32-05:00,1176
2/9/15,move,cycling,2015-02-09T20:44:32-05:00,2015-02-09T20:55:16-05:00,644
2/9/15,place,Home,2015-02-09T20:55:15-05:00,2015-02-10T00:00:00-05:00,11085
2/10/15,place,Home,2015-02-10T00:00:00-05:00,2015-02-10T09:22:41-05:00,33761
2/10/15,move,transport,2015-02-10T09:22:41-05:00,2015-02-10T09:25:29-05:00,168
2/10/15,move,cycling,2015-02-10T09:25:29-05:00,2015-02-10T09:30:57-05:00,328
2/10/15,place,Place in University of Florida,2015-02-10T09:30:57-05:00,2015-02-10T11:57:17-05:00,8780
2/10/15,move,transport,2015-02-10T11:57:17-05:00,2015-02-10T11:59:26-05:00,129
2/10/15,place,Place in University of Florida,2015-02-10T11:59:26-05:00,2015-02-10T13:25:49-05:00,5183
2/10/15,move,transport,2015-02-10T13:25:49-05:00,2015-02-10T13:27:18-05:00,89
2/10/15,move,walking,2015-02-10T13:27:18-05:00,2015-02-10T13:29:56-05:00,158
2/10/15,place,Place in Gainesville,2015-02-10T13:29:56-05:00,2015-02-10T14:06:54-05:00,2218
2/10/15,move,cycling,2015-02-10T14:06:54-05:00,2015-02-10T14:18:03-05:00,669
2/10/15,move,walking,2015-02-10T14:18:03-05:00,2015-02-10T14:22:28-05:00,265
2/10/15,place,Home,2015-02-10T14:22:28-05:00,2015-02-11T00:00:00-05:00,34652
2/11/15,place,Home,2015-02-11T00:00:00-05:00,2015-02-11T18:33:27-05:00,66807
2/11/15,move,walking,2015-02-11T18:33:27-05:00,2015-02-11T18:43:20-05:00,593
2/11/15,place,Place in Gainesville,2015-02-11T18:43:21-05:00,2015-02-11T19:00:35-05:00,1034
2/11/15,move,walking,2015-02-11T19:00:35-05:00,2015-02-11T19:06:46-05:00,371
2/11/15,place,Place in Gainesville,2015-02-11T19:06:46-05:00,2015-02-11T20:44:42-05:00,5876
2/11/15,move,walking,2015-02-11T20:44:42-05:00,2015-02-11T21:05:18-05:00,1236
2/11/15,place,Home,2015-02-11T21:05:17-05:00,2015-02-12T00:00:00-05:00,10483
2/12/15,place,Home,2015-02-12T00:00:00-05:00,2015-02-12T16:44:41-05:00,60281
2/12/15,move,cycling,2015-02-12T16:44:41-05:00,2015-02-12T16:54:54-05:00,613
2/12/15,move,walking,2015-02-12T16:54:54-05:00,2015-02-12T16:57:43-05:00,169
2/12/15,place,Place in Gainesville,2015-02-12T16:57:43-05:00,2015-02-12T18:00:22-05:00,3759
2/12/15,move,transport,2015-02-12T18:00:22-05:00,2015-02-12T18:02:31-05:00,129
2/12/15,place,Place in University of Florida,2015-02-12T18:02:31-05:00,2015-02-12T20:18:28-05:00,8157
2/12/15,move,cycling,2015-02-12T20:18:28-05:00,2015-02-12T20:29:21-05:00,653
